arm,bench,n,rule,thr_prob,r,tp,tp_std,fp,fp_std,fn,fn_std,tn,tn_std,balanced_accuracy,balanced_accuracy_std,precision,precision_std,recall,recall_std,specificity,specificity_std,f1,f1_std,auc,auc_std,ap,ap_std,false_alarms,false_alarms_std,infer_ms_per_clip,infer_ms_per_clip_std,infer_s,infer_s_std,params,params_std
arm0,b5,5,OOF-Youden,0.2758413058605889,nan,39.8,0.4,77.2,11.634431657799189,1.2,0.4,19249.8,11.63443165779919,0.9833686476772667,0.004659973455261595,0.34352330106596274,0.03288095024082889,0.9707317073170731,0.009756097560975618,0.9960055880374605,0.0006019781475551674,0.5064128974473802,0.03465255606252252,0.9876825924051655,0.0040690958555837506,0.6853214648152471,0.05390482061318026,77.2,11.634431657799189,0.1191501354491696,0.00017911183030527362,2.3076998233795165,0.00346903792935249,1172897.0,0.0
arm0,avg,3,OOF-Youden,nan,nan,145.53333333333333,nan,1239.6,nan,2.466666666666667,nan,17392.399999999998,nan,0.9148163708553024,nan,0.2137337044731116,nan,0.9785678195765009,nan,0.8510649221341042,nan,0.3305585427561441,nan,0.9692127866492589,nan,0.6288666771273951,nan,1239.6,nan,0.11613066028734999,nan,2.2263723055521645,nan,1172897.0,nan
arm0,b1,5,OOF-cost r=N/P,0.38016459480362663,20.70353982300885,225.8,0.4,1795.8,3.3105890714493698,0.2,0.4000000000000001,2883.2,3.3105890714493698,0.807657543495982,0.0009124950404352098,0.11169394224646256,0.00023803543721840966,0.9991150442477876,0.0017699115044247816,0.6162000427441762,0.0007075420114232444,0.2009257598433989,0.0004091992654411642,0.9297909885441825,0.024939219393565856,0.4346056425456233,0.06425797334146918,1795.8,3.3105890714493698,0.10970035945725125,0.0011353863865626306,0.5380802631378174,0.005569070226089702,1172897.0,0.0
arm0,b4,5,OOF-cost r=N/P,0.13318408368278856,180.16949152542372,173.0,1.8973665961010275,3373.8,2583.8084603933007,4.0,1.8973665961010275,28516.2,2583.8084603933007,0.9358031049529367,0.035509293440704144,0.09851927727611301,0.07924632381614076,0.9774011299435028,0.010719585288706354,0.8942050799623706,0.08102252933186894,0.16951741507177992,0.12450503867168015,0.9901647789984285,0.0018807415828534858,0.7666729240213147,0.10003352988923433,3373.8,2583.8084603933007,0.11954148595562915,0.0009731338514878908,3.83333683013916,0.03120548321566213,1172897.0,0.0
arm0,b5,5,OOF-cost r=N/P,0.27851331720672196,471.390243902439,39.8,0.4,76.2,10.998181667894016,1.2,0.4,19250.8,10.998181667894016,0.9833945182210657,0.004672463234081819,0.3461756091677352,0.031550846625139864,0.9707317073170731,0.009756097560975618,0.9960573291250583,0.0005690578810934819,0.5093842449260405,0.03308471439319035,0.9876825924051655,0.0040690958555837506,0.6853214648152471,0.05390482061318026,76.2,10.998181667894016,0.1191501354491696,0.00017911183030527362,2.3076998233795165,0.00346903792935249,1172897.0,0.0
arm0,avg,3,OOF-cost r=N/P,nan,nan,146.20000000000002,nan,1748.6000000000001,nan,1.8,nan,16883.399999999998,nan,0.9089517222233282,nan,0.18546294289677026,nan,0.9824159605027879,nan,0.8354874839438683,nan,0.29327580661373975,nan,0.9692127866492589,nan,0.6288666771273951,nan,1748.6000000000001,nan,0.11613066028734999,nan,2.2263723055521645,nan,1172897.0,nan
ls0.1,b1,1,p=0.5,0.5,nan,226.0,nan,1802.0,nan,0.0,nan,2877.0,nan,0.807437486642445,nan,0.11143984220907298,nan,1.0,nan,0.6148749732848899,nan,0.2005323868677906,nan,0.9133087585842978,nan,0.3460603566046989,nan,1802.0,nan,0.11038605226289241,nan,0.5414435863494873,nan,1172897.0,nan
ls0.1,b2,5,p=0.5,0.5,nan,498.0,0.0,41298.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.011915015790984784,0.0,1.0,0.0,0.0,0.0,0.02354943963682792,0.0,0.9981839362875494,0.0009465302280782507,0.9936445809309828,0.0017614859415788177,41298.0,0.0,0.11853322604932628,0.00031657956959178367,4.954214715957642,0.013231759690658209,1172897.0,0.0
ls0.1,b3,1,p=0.5,0.5,nan,1776.0,nan,2934.0,nan,32.0,nan,43399.0,nan,0.9594883441893992,nan,0.37707006369426754,nan,0.9823008849557522,nan,0.9366758034230462,nan,0.5449524393985885,nan,0.9890948215104624,nan,0.885709812741617,nan,2934.0,nan,0.11847131666962124,nan,5.703327655792236,nan,1172897.0,nan
ls0.1,b4,5,p=0.5,0.5,nan,177.0,0.0,31890.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0055196931424829265,0.0,1.0,0.0,0.0,0.0,0.010978786751023446,0.0,0.9927230610874599,0.006544889230238391,0.8589182757744991,0.046291064012997256,31890.0,0.0,0.1177539317479328,0.0008041739949239372,3.7760153293609617,0.025787447495225775,1172897.0,0.0
